"UserID","convert","timetoconvert","duration_seen","events_total","events_before_cv","browser","fractionBrowser","OS","fractionOS","browser_at_cv","os_at_cv","dayofweek_at_cv","timeofday_at_cv"
"9b264018-7770-4ff9-9b24-12e0ad2eaa1e",0,0,1072,7,0,0,1,10,1,0,0,0,0
"1ffde6f0-92eb-46f8-a4af-809af000f31a",0,0,531,2,0,29,1,9,1,0,0,0,0
"b6e637ef-900e-4f6d-8c2d-9a7b5aceb47c",0,0,0,1,0,29,1,9,1,0,0,0,0
"62758413-c95f-4a3f-884d-dcb9d2ee53d0",1,0,428357,16,0,2,1,4,1,2,4,3,7.75
"44724db3-8033-4f21-9933-3a27104cfba2",0,0,0,1,0,21,1,7,1,0,0,0,0
"b091077c-7212-4fb1-b88a-8d6de2bd150c",0,0,1,1,0,21,1,22,1,0,0,0,0
"55110778-ec48-4424-9ed5-b70c754fce33",0,0,22271,2,0,30,1,22,1,0,0,0,0
"67e75f20-799d-44f0-bb60-66ac5f45f11f",0,0,163112,4,0,2,1,4,1,0,0,0,0
"c917239d-37d8-4f05-a8b9-f1f61b0a5012",0,0,0,1,0,0,1,21,1,0,0,0,0
"ee5fd24b-4ecc-4b04-ae09-bb252b5dc0d9",0,0,0,1,0,30,1,22,1,0,0,0,0
"c3a017cd-b419-4450-99bc-72968a42dd26",0,0,270906,3,0,30,1,22,1,0,0,0,0
"251e357c-c375-4ce3-8beb-dc692639c03e",0,0,0,1,0,29,1,9,1,0,0,0,0
"989717a0-918c-4326-ac21-15f7a538c39d",0,0,0,1,0,0,1,10,1,0,0,0,0
"d201b445-fb86-4359-bebb-3b087b6cf063",0,0,94782,2,0,30,1,22,1,0,0,0,0
"d0c43e40-23fd-4d7d-a65f-f50f970cdc64",0,0,283,4,0,0,1,10,1,0,0,0,0
"4e387d2f-8750-43b6-928d-ace9931831b3",0,0,0,1,0,30,1,22,1,0,0,0,0
"ee6d86b6-5b09-4282-9b67-6dc3ed0747b6",0,0,0,1,0,0,1,10,1,0,0,0,0
"513facd7-9074-4117-8857-298c30a54d3f",0,0,27145,8,0,0,1,21,1,0,0,0,0
"d784ef4f-08df-47ce-a3a8-60e0abcb2521",0,0,0,1,0,29,1,9,1,0,0,0,0
"0d68f586-1449-4afc-89c1-b46b68c8bbd1",0,0,0,1,0,21,1,22,1,0,0,0,0
"e035dab0-6ab2-424a-9c79-0932f4ea0b66",0,0,0,1,0,29,1,9,1,0,0,0,0
"48fcb79a-22e1-43f9-a3af-faac7c9d2329",1,0,764679,203,0,21,1,9,1,21,9,0,2.03333333333
"04a93d0f-30d0-4cc7-9886-776256db561a",0,0,318,2,0,13,1,9,1,0,0,0,0
"fb508c10-d5d7-40e6-ac93-5aa8f150f551",0,0,0,1,0,11,1,8,1,0,0,0,0
"e3015306-4e52-4552-8c70-5a5db7c089e2",0,0,65501,5,0,0,1,10,1,0,0,0,0
"bc7f37d4-87c8-46c8-8aee-a262245fe1f3",0,0,0,1,0,29,1,9,1,0,0,0,0
"ed4af11b-5ef5-4bb3-b8ab-e4c732347a63",0,0,0,1,0,25,1,9,1,0,0,0,0
"5e79498b-c52a-47aa-8ca3-8f47032ee91c",0,0,0,1,0,0,1,10,1,0,0,0,0
"01caaee2-81cc-4829-882d-d6a0d90330a1",0,0,188,2,0,13,1,22,1,0,0,0,0
"4b6f2177-bf20-4ae1-9931-7b4852126968",0,0,0,1,0,21,1,9,1,0,0,0,0
"cfb922ed-2a03-4aaf-b719-21891970d91e",0,0,0,1,0,0,1,10,1,0,0,0,0
"d3a34342-682d-49e0-8f63-62f6237953d5",0,0,0,1,0,20,1,8,1,0,0,0,0
"0757c36e-5877-4088-a34a-b641c39a98dc",0,0,0,1,0,29,1,9,1,0,0,0,0
"0e0f6ce4-e97c-472a-a8c7-7ca9fa9b0620",0,0,0,1,0,13,1,9,1,0,0,0,0
"4bba9fb1-0fd5-4cfb-8c3d-3af5e90f68df",0,0,0,1,0,0,1,10,1,0,0,0,0
"caa04a13-7860-4212-a4a7-de9bd8c43964",0,0,0,1,0,0,1,11,1,0,0,0,0
"cb3403f1-3954-42e4-b8b9-d92ef9515a80",0,0,0,1,0,30,1,22,1,0,0,0,0
"f16043e3-8fee-4e10-b3b5-47500664661a",0,0,512094,2,0,30,1,22,1,0,0,0,0
"ca801691-8d28-49e8-b892-314a8106ea45",0,0,332521,3,0,30,1,22,1,0,0,0,0
"923f5f3c-3139-43c0-b9f7-8bee9ff95255",0,0,0,1,0,13,1,8,1,0,0,0,0
"89820479-ddcf-42ed-a0fa-3a4da8559ff1",0,0,0,1,0,0,1,20,1,0,0,0,0
"94591774-1979-44a5-9816-7d06c844bf52",0,0,0,1,0,13,1,22,1,0,0,0,0
"4bd46fb9-c08b-41f8-8a7e-aae45fe94655",0,0,0,1,0,30,1,22,1,0,0,0,0
"b2fa05dc-7e94-4771-a0d3-49fb84881aac",0,0,0,1,0,29,1,9,1,0,0,0,0
"71b84e2f-3b4b-477c-8e16-3057b58ec1b3",0,0,0,1,0,21,1,8,1,0,0,0,0